justice,term,direction,issueArea
81,1947,2,2
80,1947,2,2
79,1947,2,2
78,1947,2,2
85,1947,2,2
82,1947,2,2
87,1947,2,2
86,1947,1,1
84,1947,2,1
81,1947,2,1
80,1947,2,1
79,1947,1,1
78,1947,1,1
85,1947,2,1
82,1947,2,1
87,1947,1,1
86,1947,1,1
84,1947,1,1
81,1947,2,1
80,1947,1,1
79,1947,1,1
78,1947,2,1
85,1947,1,1
82,1947,1,1
87,1947,1,1
86,1947,2,2
84,1947,1,2
81,1947,2,2
80,1947,2,2
79,1947,2,2
78,1947,2,2
85,1947,2,2
82,1947,2,2
87,1947,1,2
86,1947,1,8
84,1947,1,8
81,1947,2,8
80,1947,1,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,2,8
87,1947,1,1
78,1947,2,1
79,1947,1,1
80,1947,1,1
81,1947,1,1
82,1947,1,1
84,1947,1,1
85,1947,2,1
86,1947,1,1
86,1947,1,9
84,1947,1,9
81,1947,2,9
80,1947,1,9
79,1947,1,9
78,1947,1,9
85,1947,2,9
82,1947,2,9
87,1947,1,9
86,1947,1,9
84,1947,1,9
81,1947,2,9
80,1947,1,9
79,1947,2,9
78,1947,2,9
85,1947,2,9
82,1947,1,9
87,1947,1,9
86,1947,1,8
84,1947,1,8
81,1947,1,8
80,1947,1,8
79,1947,1,8
78,1947,1,8
85,1947,1,8
82,1947,1,8
87,1947,1,8
86,1947,1,8
84,1947,1,8
81,1947,2,8
80,1947,2,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,2,8
86,1947,2,4
84,1947,2,4
81,1947,2,4
80,1947,2,4
79,1947,2,4
78,1947,2,4
85,1947,2,4
82,1947,2,4
87,1947,2,4
86,1947,1,2
84,1947,1,2
81,1947,1,2
80,1947,1,2
79,1947,1,2
78,1947,1,2
85,1947,2,2
82,1947,2,2
87,1947,1,2
86,1947,2,9
84,1947,2,9
81,1947,2,9
80,1947,2,9
79,1947,2,9
78,1947,2,9
85,1947,2,9
82,1947,2,9
87,1947,2,9
86,1947,1,9
84,1947,1,9
81,1947,1,9
80,1947,1,9
79,1947,1,9
78,1947,1,9
85,1947,1,9
82,1947,1,9
87,1947,1,9
86,1947,1,8
84,1947,2,8
81,1947,2,8
80,1947,2,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,2,8
86,1947,2,3
84,1947,1,3
81,1947,2,3
80,1947,1,3
79,1947,1,3
78,1947,1,3
85,1947,1,3
82,1947,1,3
87,1947,1,3
86,1947,2,4
84,1947,2,4
81,1947,2,4
80,1947,2,4
79,1947,2,4
78,1947,2,4
85,1947,2,4
82,1947,2,4
87,1947,2,4
86,1947,2,3
84,1947,2,3
81,1947,2,3
80,1947,2,3
79,1947,1,3
78,1947,2,3
85,1947,2,3
82,1947,2,3
87,1947,2,3
86,1947,2,1
84,1947,1,1
81,1947,2,1
80,1947,1,1
79,1947,2,1
78,1947,2,1
85,1947,2,1
82,1947,2,1
87,1947,2,1
86,1947,1,8
84,1947,NA,8
81,1947,2,8
80,1947,1,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,1,8
86,1947,2,8
84,1947,NA,8
81,1947,2,8
80,1947,2,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,2,8
86,1947,1,2
84,1947,1,2
81,1947,2,2
80,1947,1,2
79,1947,1,2
78,1947,1,2
85,1947,1,2
82,1947,1,2
87,1947,1,2
86,1947,2,1
84,1947,2,1
81,1947,2,1
80,1947,2,1
79,1947,2,1
78,1947,2,1
85,1947,2,1
82,1947,2,1
87,1947,2,1
86,1947,2,9
84,1947,1,9
81,1947,NA,9
80,1947,1,9
79,1947,2,9
78,1947,1,9
85,1947,1,9
82,1947,1,9
87,1947,NA,9
86,1947,1,7
84,1947,1,7
81,1947,2,7
80,1947,1,7
79,1947,1,7
78,1947,2,7
85,1947,NA,7
82,1947,2,7
87,1947,1,7
86,1947,1,8
84,1947,1,8
81,1947,1,8
80,1947,1,8
79,1947,1,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,1,8
86,1947,1,8
84,1947,1,8
81,1947,2,8
80,1947,1,8
79,1947,1,8
78,1947,1,8
85,1947,1,8
82,1947,1,8
87,1947,1,8
86,1947,2,1
84,1947,2,1
81,1947,2,1
80,1947,2,1
79,1947,2,1
78,1947,2,1
85,1947,2,1
82,1947,2,1
87,1947,2,1
86,1947,1,12
84,1947,2,12
81,1947,1,12
80,1947,2,12
79,1947,2,12
78,1947,2,12
85,1947,2,12
82,1947,2,12
87,1947,2,12
86,1947,1,3
84,1947,1,3
81,1947,2,3
80,1947,1,3
79,1947,2,3
78,1947,2,3
85,1947,2,3
82,1947,2,3
87,1947,2,3
86,1947,2,8
84,1947,1,8
81,1947,1,8
80,1947,1,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,2,8
86,1947,1,2
84,1947,1,2
81,1947,2,2
80,1947,1,2
79,1947,1,2
78,1947,2,2
85,1947,2,2
82,1947,2,2
87,1947,1,2
86,1947,1,4
84,1947,1,4
81,1947,1,4
80,1947,1,4
79,1947,1,4
78,1947,2,4
85,1947,2,4
82,1947,2,4
87,1947,1,4
86,1947,2,2
84,1947,1,2
81,1947,2,2
80,1947,1,2
79,1947,1,2
78,1947,2,2
85,1947,2,2
82,1947,2,2
87,1947,2,2
86,1947,2,9
84,1947,2,9
81,1947,2,9
80,1947,2,9
79,1947,2,9
78,1947,2,9
85,1947,2,9
82,1947,2,9
87,1947,2,9
86,1947,1,12
84,1947,1,12
81,1947,1,12
80,1947,1,12
79,1947,2,12
78,1947,2,12
85,1947,2,12
82,1947,2,12
87,1947,2,12
86,1947,1,1
84,1947,1,1
81,1947,2,1
80,1947,1,1
79,1947,1,1
78,1947,2,1
85,1947,2,1
82,1947,2,1
87,1947,1,1
86,1947,1,4
84,1947,NA,4
81,1947,NA,4
80,1947,2,4
79,1947,2,4
78,1947,2,4
85,1947,2,4
82,1947,2,4
87,1947,2,4
86,1947,2,1
84,1947,2,1
81,1947,2,1
80,1947,2,1
79,1947,2,1
78,1947,2,1
85,1947,2,1
82,1947,2,1
87,1947,2,1
86,1947,1,8
84,1947,1,8
81,1947,2,8
80,1947,1,8
79,1947,1,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,1,8
86,1947,2,8
84,1947,2,8
81,1947,2,8
80,1947,2,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,2,8
86,1947,2,8
84,1947,2,8
81,1947,2,8
80,1947,2,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,2,8
86,1947,2,2
84,1947,NA,2
81,1947,2,2
80,1947,2,2
79,1947,NA,2
78,1947,2,2
85,1947,NA,2
82,1947,2,2
87,1947,2,2
86,1947,2,2
84,1947,NA,2
81,1947,2,2
80,1947,2,2
79,1947,NA,2
78,1947,2,2
85,1947,NA,2
82,1947,2,2
87,1947,2,2
86,1947,2,8
84,1947,1,8
81,1947,2,8
80,1947,1,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,2,8
86,1947,2,9
84,1947,1,9
81,1947,1,9
80,1947,1,9
79,1947,1,9
78,1947,2,9
85,1947,2,9
82,1947,2,9
87,1947,1,9
86,1947,2,8
84,1947,NA,8
81,1947,2,8
80,1947,1,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,NA,8
87,1947,2,8
86,1947,2,8
84,1947,NA,8
81,1947,2,8
80,1947,2,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,NA,8
87,1947,2,8
86,1947,2,8
84,1947,NA,8
81,1947,2,8
80,1947,1,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,2,8
86,1947,1,10
84,1947,2,10
81,1947,2,10
80,1947,1,10
79,1947,NA,10
78,1947,2,10
85,1947,2,10
82,1947,2,10
87,1947,1,10
86,1947,1,9
84,1947,1,9
81,1947,1,9
80,1947,1,9
79,1947,1,9
78,1947,1,9
85,1947,1,9
82,1947,1,9
87,1947,1,9
86,1947,2,8
84,1947,1,8
81,1947,2,8
80,1947,1,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,2,8
86,1947,1,7
84,1947,1,7
81,1947,1,7
80,1947,1,7
79,1947,1,7
78,1947,1,7
85,1947,1,7
82,1947,1,7
87,1947,1,7
86,1947,2,9
84,1947,NA,9
81,1947,2,9
80,1947,2,9
79,1947,2,9
78,1947,2,9
85,1947,2,9
82,1947,NA,9
87,1947,2,9
86,1947,2,1
84,1947,1,1
81,1947,2,1
80,1947,1,1
79,1947,1,1
78,1947,2,1
85,1947,2,1
82,1947,2,1
87,1947,1,1
86,1947,1,1
84,1947,1,1
81,1947,1,1
80,1947,1,1
79,1947,1,1
78,1947,1,1
85,1947,1,1
82,1947,1,1
87,1947,1,1
86,1947,1,9
84,1947,1,9
81,1947,2,9
80,1947,1,9
79,1947,1,9
78,1947,2,9
85,1947,2,9
82,1947,2,9
87,1947,1,9
86,1947,1,4
84,1947,1,4
81,1947,2,4
80,1947,1,4
79,1947,1,4
78,1947,1,4
85,1947,1,4
82,1947,1,4
87,1947,1,4
86,1947,2,2
84,1947,2,2
81,1947,2,2
80,1947,2,2
79,1947,2,2
78,1947,2,2
85,1947,2,2
82,1947,2,2
87,1947,2,2
86,1947,2,4
84,1947,2,4
81,1947,2,4
80,1947,1,4
79,1947,2,4
78,1947,2,4
85,1947,2,4
82,1947,1,4
87,1947,2,4
86,1947,2,4
84,1947,2,4
81,1947,2,4
80,1947,1,4
79,1947,2,4
78,1947,2,4
85,1947,2,4
82,1947,1,4
87,1947,2,4
86,1947,2,2
84,1947,2,2
81,1947,2,2
80,1947,2,2
79,1947,2,2
78,1947,2,2
85,1947,2,2
82,1947,2,2
87,1947,2,2
86,1947,2,2
84,1947,1,2
81,1947,2,2
80,1947,2,2
79,1947,1,2
78,1947,2,2
85,1947,2,2
82,1947,2,2
87,1947,2,2
86,1947,1,1
84,1947,1,1
81,1947,1,1
80,1947,1,1
79,1947,1,1
78,1947,1,1
85,1947,1,1
82,1947,1,1
87,1947,1,1
86,1947,1,7
84,1947,1,7
81,1947,NA,7
80,1947,1,7
79,1947,2,7
78,1947,2,7
85,1947,2,7
82,1947,2,7
87,1947,2,7
86,1947,1,8
84,1947,1,8
81,1947,2,8
80,1947,1,8
79,1947,1,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,1,8
86,1947,NA,11
84,1947,NA,11
81,1947,NA,11
80,1947,NA,11
79,1947,NA,11
78,1947,NA,11
85,1947,NA,11
82,1947,NA,11
87,1947,NA,11
86,1947,NA,11
84,1947,NA,11
81,1947,NA,11
80,1947,NA,11
79,1947,NA,11
78,1947,NA,11
85,1947,NA,11
82,1947,NA,11
87,1947,NA,11
86,1947,1,3
84,1947,1,3
81,1947,2,3
80,1947,1,3
79,1947,1,3
78,1947,2,3
85,1947,2,3
82,1947,2,3
87,1947,2,3
86,1947,1,9
84,1947,2,9
81,1947,2,9
80,1947,1,9
79,1947,2,9
78,1947,2,9
85,1947,2,9
82,1947,2,9
87,1947,2,9
86,1947,1,2
84,1947,1,2
81,1947,1,2
80,1947,1,2
79,1947,1,2
78,1947,1,2
85,1947,1,2
82,1947,1,2
87,1947,1,2
86,1947,2,4
84,1947,1,4
81,1947,1,4
80,1947,2,4
79,1947,2,4
78,1947,2,4
85,1947,2,4
82,1947,2,4
87,1947,2,4
86,1947,1,8
84,1947,1,8
81,1947,2,8
80,1947,1,8
79,1947,1,8
78,1947,2,8
85,1947,1,8
82,1947,2,8
87,1947,1,8
86,1947,1,9
84,1947,1,9
81,1947,2,9
80,1947,2,9
79,1947,1,9
78,1947,2,9
85,1947,2,9
82,1947,2,9
87,1947,1,9
86,1947,1,1
84,1947,2,1
81,1947,2,1
80,1947,2,1
79,1947,1,1
78,1947,1,1
85,1947,2,1
82,1947,2,1
87,1947,1,1
86,1947,2,8
84,1947,2,8
81,1947,1,8
80,1947,1,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,1,8
86,1947,1,1
84,1947,1,1
81,1947,2,1
80,1947,1,1
79,1947,1,1
78,1947,2,1
85,1947,2,1
82,1947,2,1
87,1947,1,1
86,1947,1,1
84,1947,2,1
81,1947,2,1
80,1947,2,1
79,1947,1,1
78,1947,2,1
85,1947,2,1
82,1947,2,1
87,1947,1,1
86,1947,2,4
84,1947,1,4
81,1947,1,4
80,1947,2,4
79,1947,2,4
78,1947,2,4
85,1947,2,4
82,1947,2,4
87,1947,2,4
86,1947,1,9
84,1947,1,9
81,1947,2,9
80,1947,1,9
79,1947,1,9
78,1947,1,9
85,1947,2,9
82,1947,1,9
87,1947,1,9
86,1947,1,1
84,1947,2,1
81,1947,1,1
80,1947,2,1
79,1947,1,1
78,1947,1,1
85,1947,2,1
82,1947,2,1
87,1947,1,1
86,1947,1,1
84,1947,2,1
81,1947,1,1
80,1947,2,1
79,1947,1,1
78,1947,1,1
85,1947,2,1
82,1947,2,1
87,1947,1,1
86,1947,1,8
84,1947,1,8
81,1947,2,8
80,1947,1,8
79,1947,2,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,1,8
86,1947,1,8
84,1947,1,8
81,1947,1,8
80,1947,1,8
79,1947,1,8
78,1947,1,8
85,1947,1,8
82,1947,1,8
87,1947,1,8
86,1947,1,2
84,1947,1,2
81,1947,2,2
80,1947,1,2
79,1947,1,2
78,1947,2,2
85,1947,2,2
82,1947,2,2
87,1947,1,2
86,1947,1,1
84,1947,1,1
81,1947,1,1
80,1947,1,1
79,1947,1,1
78,1947,2,1
85,1947,2,1
82,1947,2,1
87,1947,1,1
86,1947,1,8
84,1947,1,8
81,1947,2,8
80,1947,1,8
79,1947,1,8
78,1947,2,8
85,1947,2,8
82,1947,2,8
87,1947,1,8
86,1947,1,4
84,1947,1,4
81,1947,2,4
80,1947,1,4
79,1947,1,4
78,1947,NA,4
85,1947,2,4
82,1947,2,4
87,1947,1,4
87,1947,NA,NA
78,1947,NA,NA
79,1947,NA,NA
80,1947,NA,NA
81,1947,NA,NA
82,1947,NA,NA
84,1947,NA,NA
85,1947,NA,NA
86,1947,NA,NA
86,1948,1,2
84,1948,1,2
81,1948,2,2
80,1948,1,2
79,1948,1,2
78,1948,2,2
85,1948,1,2
82,1948,2,2
87,1948,1,2
86,1948,2,8
84,1948,2,8
81,1948,2,8
80,1948,2,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,2,8
86,1948,2,9
84,1948,2,9
81,1948,2,9
80,1948,2,9
79,1948,2,9
78,1948,2,9
85,1948,2,9
82,1948,2,9
87,1948,2,9
86,1948,1,8
84,1948,NA,8
81,1948,2,8
80,1948,1,8
79,1948,1,8
78,1948,2,8
85,1948,2,8
82,1948,NA,8
87,1948,1,8
86,1948,1,8
84,1948,1,8
81,1948,2,8
80,1948,1,8
79,1948,1,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,1,8
86,1948,2,2
84,1948,2,2
81,1948,2,2
80,1948,2,2
79,1948,2,2
78,1948,2,2
85,1948,2,2
82,1948,2,2
87,1948,2,2
86,1948,2,8
84,1948,1,8
81,1948,2,8
80,1948,1,8
79,1948,2,8
78,1948,1,8
85,1948,2,8
82,1948,1,8
87,1948,2,8
86,1948,2,8
84,1948,1,8
81,1948,2,8
80,1948,1,8
79,1948,2,8
78,1948,1,8
85,1948,2,8
82,1948,1,8
87,1948,2,8
86,1948,1,8
84,1948,1,8
81,1948,2,8
80,1948,1,8
79,1948,1,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,1,8
86,1948,1,7
84,1948,1,7
81,1948,2,7
80,1948,1,7
79,1948,2,7
78,1948,2,7
85,1948,2,7
82,1948,2,7
87,1948,1,7
86,1948,1,1
84,1948,1,1
81,1948,2,1
80,1948,2,1
79,1948,1,1
78,1948,2,1
85,1948,2,1
82,1948,2,1
87,1948,1,1
86,1948,1,1
84,1948,1,1
81,1948,2,1
80,1948,1,1
79,1948,2,1
78,1948,2,1
85,1948,2,1
82,1948,2,1
87,1948,2,1
86,1948,1,1
84,1948,2,1
81,1948,2,1
80,1948,2,1
79,1948,1,1
78,1948,2,1
85,1948,2,1
82,1948,2,1
87,1948,1,1
86,1948,1,2
84,1948,1,2
81,1948,2,2
80,1948,1,2
79,1948,1,2
78,1948,1,2
85,1948,2,2
82,1948,2,2
87,1948,1,2
86,1948,1,1
84,1948,1,1
81,1948,1,1
80,1948,1,1
79,1948,1,1
78,1948,1,1
85,1948,2,1
82,1948,2,1
87,1948,1,1
86,1948,1,1
84,1948,2,1
81,1948,2,1
80,1948,2,1
79,1948,1,1
78,1948,1,1
85,1948,1,1
82,1948,2,1
87,1948,1,1
86,1948,2,8
84,1948,2,8
81,1948,2,8
80,1948,2,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,2,8
86,1948,1,7
84,1948,1,7
81,1948,1,7
80,1948,1,7
79,1948,1,7
78,1948,1,7
85,1948,1,7
82,1948,1,7
87,1948,1,7
86,1948,1,7
84,1948,1,7
81,1948,1,7
80,1948,1,7
79,1948,1,7
78,1948,1,7
85,1948,1,7
82,1948,2,7
87,1948,1,7
86,1948,1,8
84,1948,1,8
81,1948,2,8
80,1948,1,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,2,8
86,1948,2,8
84,1948,2,8
81,1948,2,8
80,1948,2,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,2,8
86,1948,2,12
84,1948,1,12
81,1948,1,12
80,1948,1,12
79,1948,2,12
78,1948,2,12
85,1948,2,12
82,1948,2,12
87,1948,2,12
86,1948,2,2
84,1948,1,2
81,1948,2,2
80,1948,2,2
79,1948,1,2
78,1948,2,2
85,1948,2,2
82,1948,2,2
87,1948,1,2
86,1948,1,12
84,1948,2,12
81,1948,2,12
80,1948,1,12
79,1948,1,12
78,1948,2,12
85,1948,2,12
82,1948,2,12
87,1948,2,12
86,1948,1,12
84,1948,1,12
81,1948,2,12
80,1948,1,12
79,1948,2,12
78,1948,2,12
85,1948,2,12
82,1948,2,12
87,1948,2,12
86,1948,2,8
84,1948,1,8
81,1948,2,8
80,1948,1,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,1,8
86,1948,2,10
84,1948,2,10
81,1948,2,10
80,1948,2,10
79,1948,2,10
78,1948,2,10
85,1948,2,10
82,1948,2,10
87,1948,2,10
86,1948,2,12
84,1948,2,12
81,1948,1,12
80,1948,2,12
79,1948,1,12
78,1948,2,12
85,1948,2,12
82,1948,2,12
87,1948,2,12
86,1948,2,8
84,1948,1,8
81,1948,2,8
80,1948,2,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,1,8
86,1948,1,3
84,1948,1,3
81,1948,2,3
80,1948,1,3
79,1948,1,3
78,1948,2,3
85,1948,2,3
82,1948,2,3
87,1948,1,3
86,1948,1,3
84,1948,1,3
81,1948,1,3
80,1948,1,3
79,1948,1,3
78,1948,1,3
85,1948,1,3
82,1948,1,3
87,1948,1,3
86,1948,2,12
84,1948,2,12
81,1948,2,12
80,1948,2,12
79,1948,2,12
78,1948,2,12
85,1948,2,12
82,1948,2,12
87,1948,2,12
86,1948,1,10
84,1948,1,10
81,1948,2,10
80,1948,1,10
79,1948,1,10
78,1948,1,10
85,1948,2,10
82,1948,1,10
87,1948,1,10
86,1948,1,1
84,1948,1,1
81,1948,2,1
80,1948,1,1
79,1948,1,1
78,1948,2,1
85,1948,2,1
82,1948,2,1
87,1948,1,1
86,1948,2,8
84,1948,1,8
81,1948,2,8
80,1948,2,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,2,8
86,1948,2,12
84,1948,2,12
81,1948,2,12
80,1948,2,12
79,1948,2,12
78,1948,2,12
85,1948,2,12
82,1948,2,12
87,1948,2,12
86,1948,2,1
84,1948,1,1
81,1948,2,1
80,1948,1,1
79,1948,2,1
78,1948,2,1
85,1948,2,1
82,1948,2,1
87,1948,2,1
86,1948,1,8
84,1948,1,8
81,1948,2,8
80,1948,1,8
79,1948,1,8
78,1948,1,8
85,1948,1,8
82,1948,1,8
87,1948,1,8
86,1948,1,8
84,1948,1,8
81,1948,2,8
80,1948,1,8
79,1948,1,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,1,8
86,1948,2,2
84,1948,2,2
81,1948,2,2
80,1948,2,2
79,1948,2,2
78,1948,2,2
85,1948,2,2
82,1948,2,2
87,1948,2,2
86,1948,2,8
84,1948,2,8
81,1948,2,8
80,1948,2,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,2,8
87,1948,1,4
78,1948,2,4
79,1948,1,4
80,1948,2,4
81,1948,2,4
82,1948,2,4
84,1948,1,4
85,1948,2,4
86,1948,2,4
86,1948,1,7
84,1948,1,7
81,1948,2,7
80,1948,1,7
79,1948,1,7
78,1948,2,7
85,1948,2,7
82,1948,2,7
87,1948,1,7
86,1948,1,8
84,1948,1,8
81,1948,1,8
80,1948,1,8
79,1948,1,8
78,1948,1,8
85,1948,1,8
82,1948,1,8
87,1948,1,8
86,1948,1,7
84,1948,1,7
81,1948,1,7
80,1948,1,7
79,1948,1,7
78,1948,1,7
85,1948,1,7
82,1948,1,7
87,1948,1,7
86,1948,1,10
84,1948,1,10
81,1948,2,10
80,1948,1,10
79,1948,1,10
78,1948,2,10
85,1948,1,10
82,1948,1,10
87,1948,1,10
86,1948,2,8
84,1948,2,8
81,1948,2,8
80,1948,2,8
79,1948,1,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,2,8
86,1948,1,10
84,1948,1,10
81,1948,1,10
80,1948,1,10
79,1948,1,10
78,1948,1,10
85,1948,1,10
82,1948,1,10
87,1948,1,10
87,1948,1,9
78,1948,1,9
79,1948,1,9
80,1948,1,9
81,1948,1,9
82,1948,1,9
84,1948,1,9
85,1948,1,9
86,1948,1,9
87,1948,1,8
78,1948,1,8
79,1948,2,8
80,1948,1,8
81,1948,2,8
82,1948,1,8
84,1948,2,8
85,1948,2,8
86,1948,1,8
86,1948,2,12
84,1948,2,12
81,1948,2,12
80,1948,2,12
79,1948,2,12
78,1948,2,12
85,1948,2,12
82,1948,2,12
87,1948,2,12
86,1948,2,12
84,1948,2,12
81,1948,2,12
80,1948,2,12
79,1948,2,12
78,1948,2,12
85,1948,2,12
82,1948,2,12
87,1948,2,12
86,1948,1,1
84,1948,2,1
81,1948,2,1
80,1948,2,1
79,1948,2,1
78,1948,2,1
85,1948,2,1
82,1948,2,1
87,1948,2,1
86,1948,2,8
84,1948,2,8
81,1948,2,8
80,1948,2,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,2,8
86,1948,1,8
84,1948,1,8
81,1948,2,8
80,1948,1,8
79,1948,1,8
78,1948,2,8
85,1948,2,8
82,1948,1,8
87,1948,1,8
87,1948,1,3
78,1948,1,3
79,1948,1,3
80,1948,1,3
81,1948,1,3
82,1948,1,3
84,1948,1,3
85,1948,1,3
86,1948,1,3
86,1948,2,8
84,1948,NA,8
81,1948,2,8
80,1948,1,8
79,1948,2,8
78,1948,2,8
85,1948,NA,8
82,1948,NA,8
87,1948,2,8
86,1948,1,8
84,1948,1,8
81,1948,2,8
80,1948,1,8
79,1948,1,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,1,8
86,1948,1,8
84,1948,1,8
81,1948,1,8
80,1948,2,8
79,1948,1,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,1,8
86,1948,2,8
84,1948,2,8
81,1948,2,8
80,1948,2,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,2,8
86,1948,2,8
84,1948,1,8
81,1948,2,8
80,1948,1,8
79,1948,NA,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,2,8
86,1948,1,1
84,1948,2,1
81,1948,1,1
80,1948,2,1
79,1948,1,1
78,1948,1,1
85,1948,2,1
82,1948,2,1
87,1948,1,1
86,1948,1,9
84,1948,1,9
81,1948,1,9
80,1948,1,9
79,1948,1,9
78,1948,1,9
85,1948,1,9
82,1948,1,9
87,1948,1,9
87,1948,2,8
78,1948,2,8
79,1948,NA,8
80,1948,2,8
81,1948,2,8
82,1948,2,8
84,1948,NA,8
85,1948,2,8
86,1948,2,8
86,1948,NA,11
84,1948,NA,11
81,1948,NA,11
80,1948,NA,11
79,1948,NA,11
78,1948,NA,11
85,1948,NA,11
82,1948,NA,11
87,1948,NA,11
86,1948,2,1
84,1948,2,1
81,1948,2,1
80,1948,2,1
79,1948,2,1
78,1948,2,1
85,1948,2,1
82,1948,2,1
87,1948,2,1
86,1948,1,1
84,1948,1,1
81,1948,2,1
80,1948,1,1
79,1948,1,1
78,1948,1,1
85,1948,2,1
82,1948,2,1
87,1948,1,1
86,1948,1,1
84,1948,1,1
81,1948,2,1
80,1948,1,1
79,1948,1,1
78,1948,1,1
85,1948,2,1
82,1948,2,1
87,1948,1,1
86,1948,1,9
84,1948,1,9
81,1948,2,9
80,1948,1,9
79,1948,1,9
78,1948,1,9
85,1948,2,9
82,1948,2,9
87,1948,2,9
86,1948,1,8
84,1948,1,8
81,1948,1,8
80,1948,1,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,2,8
86,1948,1,1
84,1948,1,1
81,1948,1,1
80,1948,1,1
79,1948,1,1
78,1948,1,1
85,1948,1,1
82,1948,1,1
87,1948,1,1
86,1948,2,9
84,1948,2,9
81,1948,2,9
80,1948,2,9
79,1948,2,9
78,1948,2,9
85,1948,2,9
82,1948,2,9
87,1948,2,9
86,1948,1,2
84,1948,2,2
81,1948,2,2
80,1948,2,2
79,1948,1,2
78,1948,2,2
85,1948,2,2
82,1948,2,2
87,1948,1,2
86,1948,1,3
84,1948,1,3
81,1948,2,3
80,1948,1,3
79,1948,2,3
78,1948,2,3
85,1948,2,3
82,1948,2,3
87,1948,1,3
86,1948,NA,11
84,1948,NA,11
81,1948,NA,11
80,1948,NA,11
79,1948,NA,11
78,1948,NA,11
85,1948,NA,11
82,1948,NA,11
87,1948,NA,11
87,1948,1,8
78,1948,1,8
79,1948,1,8
80,1948,2,8
81,1948,2,8
82,1948,1,8
84,1948,1,8
85,1948,1,8
86,1948,1,8
86,1948,1,9
84,1948,1,9
81,1948,2,9
80,1948,1,9
79,1948,1,9
78,1948,2,9
85,1948,1,9
82,1948,1,9
87,1948,1,9
86,1948,1,9
84,1948,1,9
81,1948,2,9
80,1948,1,9
79,1948,1,9
78,1948,2,9
85,1948,1,9
82,1948,1,9
87,1948,1,9
86,1948,1,9
84,1948,1,9
81,1948,2,9
80,1948,1,9
79,1948,1,9
78,1948,2,9
85,1948,1,9
82,1948,1,9
87,1948,1,9
86,1948,1,2
84,1948,1,2
81,1948,2,2
80,1948,1,2
79,1948,1,2
78,1948,2,2
85,1948,2,2
82,1948,2,2
87,1948,1,2
86,1948,2,1
84,1948,2,1
81,1948,2,1
80,1948,2,1
79,1948,2,1
78,1948,2,1
85,1948,2,1
82,1948,2,1
87,1948,2,1
86,1948,2,8
84,1948,2,8
81,1948,2,8
80,1948,1,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
82,1948,2,8
87,1948,2,8
86,1948,2,8
84,1948,2,8
81,1948,2,8
80,1948,2,8
79,1948,2,8
78,1948,2,8
85,1948,2,8
